"time","close","high","low","open","volumefrom","volumeto","VOLALITY8hour"
"2017-08-09",301.49,303.16,292.49,295.12,83139.54,24805696.62,3.72
"2017-08-09",295.28,305.3,292.37,301.49,135880.93,40587869.13,3.42
"2017-08-09",291.43,298.98,289.22,295.24,61251.34,18017236.76,3.42
"2017-08-09",298.26,298.26,290.19,291.43,58738.58,17288026.26,3.49
"2017-08-10",298.69,300.9,294.31,298.26,62101.65,18535386.71,3.44
"2017-08-10",305.67,305.85,298.69,298.69,61578.24,18581183.49,2.46
"2017-08-10",305.67,307.29,304.05,305.67,86419.69,26403656.05,1.63
"2017-08-10",308.01,310.18,305.39,305.67,84713.57,26067437.03,1.54
"2017-08-10",302.27,308.08,300.3,308.01,94846.78,28812513.09,1.5
"2017-08-10",298.28,305.47,298.28,302.27,66432.73,20075646.79,1.5
"2017-08-10",302.48,303.13,297.06,298.28,51788.74,15510843.66,1.36
"2017-08-10",303.7,304.2,300.36,302.48,45556.75,13787034.28,1.36
"2017-08-11",301.01,303.84,300.36,303.7,40694.63,12272312.37,1.1
"2017-08-11",300.39,302.02,298.51,301.01,39179.55,11761183.5,1.1
"2017-08-11",297.9,300.77,295.94,300.39,74908.39,22389333.63,1.03
"2017-08-11",303.42,303.81,297.9,297.9,64108.2,19299323.09,1.12
"2017-08-11",300.86,303.59,299.12,303.42,52109.5,15691323.16,1.04
"2017-08-11",309.32,310.36,300.4,300.86,117831.7,36087957.4,1.35
"2017-08-11",313.43,318.31,309.14,309.32,150232.1,47263719.43,1.4
"2017-08-11",315.32,316.24,311.35,313.43,55062.33,17289365.4,1.28
"2017-08-12",311.65,315.66,311.31,315.32,48001.39,15026530.8,1.41
"2017-08-12",312.43,313.12,310.13,311.65,38004.98,11829292.46,1.31
"2017-08-12",315.67,315.75,311.4,312.43,42568.17,13353979.08,1.24
"2017-08-12",317.41,319.14,315.53,315.67,60518.09,19219491.07,1.1
